,name,date,speech,elected
0,            Joseph R. Biden          ,"February 05, 2007","['Today, the Senate takes the first step in a bipartisan effort to prevent the escalation of the war in Iraq - and to adopt a new strategy for leaving Iraq without leaving chaos behind.', ""That first step is to debate and vote on the resolution offered by Senator Warner, and re-introduced by Senator Levin and me as a bill, that says that the Senate disagrees with the President's plan to send 17,500 more American troops into the middle of a civil war in Baghdad."", ""The question before us today is whether a minority of Senators will even allow the debate to start. That's what we are about to vote on."", 'To my colleagues who are thinking about trying to block debate, let me say this: Iraq dominates our national life. It is on the minds of tens of millions of Americans. It shapes the lives of hundreds of thousands of our men and women in uniform and their families.', ""That the Senate would not even debate, much less vote on, the single most urgent issue of our time, would be a total forfeiture of our responsibility. We have a duty to debate and vote on the President's plan. We have a duty to debate and vote on our overall strategy in Iraq. And we have the duty as United States Senators to demonstrate the courage of our convictions."", ""Three weeks ago, Secretary of State Rice presented the President's plan for Iraq to the Foreign Relations Committee. Its main feature is to send more American troops into Baghdad, in the middle of a sectarian war. The reaction on the Committee, from Republicans and Democrats alike, ranged from skepticism to profound skepticism to outright opposition. And that pretty much reflects the reaction all across the country."", 'Senator Hagel, Senator Levin, Senator Snowe and I wrote a resolution to give Senators a way to vote what their voices were saying. We believe that the quickest, most effective way to get the President to change course is to demonstrate to him that his policy has little or no support across the board.', ""After we introduced our resolution, Senator Warner came forward with his. The bottom line of our resolutions is the same: Mr. President, don't send more Americans into the middle of civil war."", ""There was one critical difference. As originally written, Senator Warner's resolution left open the possibility of increasing the overall number of American troops in Iraq. We believed that would send the wrong message."", ""We should be drawing down, not ramping up, and redeploying our forces that remain in Iraq. That's the best way to make it clear to the Iraqi leaders that they must begin to make the hard compromises necessary for the political solution virtually everyone agrees is necessary. We approached Senator Warner to work out the differences. I am very pleased to say that we succeeded in doing just that."", 'The language Senator Warner removed from his resolution removed the possibility that it could be read as calling for more U.S. troops in Iraq. With that change, we agreed to support his resolution.', ""When I first spoke out against the President's planned surge before the New Year, I made it clear that I hoped to build and demonstrate bi-partisan opposition to his plan because that was the fastest way to turn him around. And that is exactly what we have done."", ""Now, we have a real opportunity for the Senate to speak clearly. Every Senator should be given a chance to vote whether he or she approves or disapproves with the President's plan to send more troops into the middle of a civil war. The debate we will have is as important as the vote. I hope the American people listen carefully."", ""I predict they will hear very few of our colleagues stand up and support the President's plan to send more troops into the middle of a civil war. Listen to the voices - as well as the votes."", 'Just as important as what we are voting against, is what we are voting for.', 'This bill, like the Biden-Hagel-Levin-Snowe bill makes three things clear.', 'As I said at the outset, this is a first step. But it can set the foundation for everything that follows. If the President does not listen to the majority of Congress and the majority of the American people, we will look at other ways to turn the surge around.', ""Even if we succeed in that effort, we still need to turn our overall Iraq policy around. We need a strategy that can produce a political settlement in Iraq. That's the only way to stop Shiites and Sunnis from killing each other and to allow our troops to leave Iraq without trading a dictator for chaos."", ""I have proposed just such a strategy, and I'll have more to say about it in the days ahead."", 'But for today, my message is simple: the American people want us to debate Iraq, the most important issue of our day. They expect it. They demand it. If we try to hide behind procedure and delaying tactics, the American people will hold us accountable. They get it.', 'The question is: do we?', ""Are we for or against the President's plan to escalate the war in Iraq? I am against it and I believe the majority of my colleagues are as well.""]",1
1,            Joseph R. Biden          ,"February 15, 2007","['This is a time of tremendous challenge for America in the world.', 'We must contend with the on-going war in Afghanistan, the genocide in Darfur, nuclear programs in Iran and North Korea, the rise of China and re-emergence Russia, the growing insecurity of our energy supply, the fragility of our climate, and the threat posed by radical fundamentalism.', 'But one issue dominates our national debate: Iraq.', 'If we deal with it successfully, we can recover the freedom, flexibility and credibility to meet these other challenges.', 'Thats what I want to talk about today.', '* * *', 'Listen to the debate about Iraq here in Washington. It centers on a false choice that is also a bad choice: Do we continue on President Bushs failing course and hand off Iraq to the next President? Or do we just leave and hope for the best?', 'I believe there is a better choice. It is still possible to bring our troops home without trading a dictator for chaos that engulfs Iraq and spreads to the Middle East.', 'That must be our goal.', '* * *', 'Leaving Iraq is necessary -- but it is not a plan. We also need a plan for what we leave behind.', 'Nine months ago, with Les Gelb of the Council on Foreign Relations, I proposed just such a plan. Go to planforiraq.com. to read its details.', 'Our plan recognizes that there is no purely military exit strategy from Iraq. Instead, we set out a roadmap to a political settlement in Iraq -- one that gives its warring factions a way to share power peacefully and offers us a chance to leave with our interests intact.', 'The plan has five major pieces.', 'First, maintain a unified Iraq by decentralizing it and giving Kurds, Shiites and Sunnis breathing room in regions as the Iraqi constitution provides. The central government would be responsible for common concerns, like guarding Iraqs borders and distributing its oil revenues.', 'Second, secure support from the Sunnis who have no oil by guaranteeing them a fair share of oil revenues. Allow former Baath party members to go back to work and reintegrate Sunnis with no blood on their hands.', 'Third, increase economic assistance to Iraq and its regions. Insist that the oil-rich Gulf states put up most of the money, tie it to the protection of minority rights, and create a major jobs program to deny the militia new recruits.', 'Fourth, initiate a major diplomatic offensive to enlist the support of Iraqs neighbors. Create an oversight group of the U.N. and the major powers to enforce their commitments. These countries have a profound stake in preventing chaos in Iraq and the credibility we lack to press for compromise by all Iraqis. If a political settlement fails to take hold, these same countries are vital to any strategy to contain the fall out within Iraq.', 'Fifth, instruct the military to draw up plans for withdrawing U.S. combat forces from Iraq by 2008. Leave behind a small force to take on terrorists and train Iraqis. The best way to focus Iraqs leaders on the political compromises they must make is to make it clear to them that we are leaving.', '* * *', 'Many of you have heard me talk about this plan before.', 'Whats new is the growing support its receiving.', 'That support was evident during the four weeks of hearings we just held in the Senate Foreign Relations Committee.', 'It is evident in the new National Intelligence Estimate for Iraq a consensus report of all U.S. intelligence agencies.', 'The NIE and virtually all of our witnesses agreed that the fundamental problem in Iraq is self-sustaining sectarian violence.', 'Yes, jihadists, Baathists, criminal gangs and intra-sect violence all contribute to the growing chaos. But Sunnis killing Shiites and Shiites killing Sunnis is the heart of the matter. Thats what we have to stop if we want to leave Iraq with our interests intact.', 'How do we stop this sectarian cycle of revenge?', 'If history is any guide, we have to wait until one side wins or both sides exhaust themselves. That could take years of bloodletting... years that we do not have.', 'History also suggests it is possible to short circuit sectarian strife.', 'A decade ago, Bosnia was being torn apart by ethnic cleansing, which threatened to engulf the Balkans. The United States stepped in with Dayton Accords, which kept the country whole by, paradoxically, dividing it into ethnic federations. Muslims, Croats and Serbs retained separate armies and presidents. Since then, Bosnians have lived a decade in peace. Now, they are slowly coming back together.', 'Iraq presents a similar possibility. Heres what the National Intelligence Estimate says we need:', 'Broader Sunni acceptance of the current political structure and federalism [and] significant concessions by Shia and Kurds to create space for Sunni acceptance of federalism.', 'That is exactly the strategy behind the Biden-Gelb plan.', 'During our hearings, witness after witness including former secretaries of states, foreign policy experts, and elected officials -- came to a similar conclusion. So have a growing number of opinion makers.', 'What more and more people are beginning to recognize is that there are very few possible futures for Iraq in the near term and only one that protects Americas interests.', '* * *', 'Think for a minute about Iraqs possible futures.', 'The Bush administration has one vision: that Iraqis will rally behind a strong, democratic central government that keeps the country together and protects the rights of all citizens equally.', 'But since the Samarra Mosque bombing a year ago, that vision has been engulfed by the flames of sectarian hatred.', 'The hard truth in Iraq is that there is no trust within the central government no trust of the government by the people and no capacity by the government to deliver services and security. And there is no evidence none that we can build that trust and capacity any time soon.', 'There are two other ways to govern Iraq from the center:', 'A foreign occupation that the United States cannot long sustain. Or the return of a strongman, who is not on the horizon. Even if he were, replacing one dictator with another would require a savagery to rival Saddams worst excesses.', 'So where does that leave us?', 'It leaves us with an idea a large majority of Iraqis have already endorsed in their constitution and that our plan would help make a reality: federalism.', 'Federalism would keep Iraq together by vesting real power in the regions.', 'It would bring decisions and responsibility down to the local level and give Sunnis, Shiites and Kurds control over the fabric of their daily lives: security, education, marriage, jobs.', 'Very few have read Iraqs constitution. Fewer still understand that legislation to implement its articles on federalism takes effect in 15 months.', 'Federalism is Iraqs best possible future.', 'But unless we help make federalism work for all Iraqis, the violence will not stop.', 'We have to convince the major powers and Iraqs neighbors that a federal Iraq is the best possible outcome for them, too, and to put their weight and influence behind it. Then, together, we have to bring in the Sunnis and convince the Shiites and Kurds to make concessions.', 'That is what the Biden-Gelb plan proposes. It demands the kind of sustained, hard headed diplomacy for which this administration has shown little interest or aptitude. But it offers the possibility not the guarantee of producing a soft landing in Iraq.', 'If we fail to make federalism work, there will be no political accommodation at the center. Violent resistance will increase. The sectarian cycle of revenge will spiral out of control. At best, the result likely will be the violent break up of Iraq into multiple failed states. At worst, the result will be Iraqs total fragmentation into warring fiefdoms.', 'The neighbors will not sit on the sidelines. Already, Iraq has aggravated a deep Sunni-Shiite divide that runs from Lebanon through Afghanistan, Pakistan and India. This fault-line intersects with other cultural and political rifts between Arabs and Persians, Turks and Kurds, jihadis and the Muslim mainstream to create the conditions for a cataclysmic explosion.', 'Iran and the Arab states will back Shia and Sunni extremists as part of a proxy war. Eventually, they will intervene directly. Sunni Jihadis will flood Iraq to confront the Persian and Shia threat, creating a new haven for terrorists. Turkey will move into the North to crush Kurdish ambitions. Sunni-Shia tensions will rise from Beirut to Karachi.', 'Individually, these would be bad developments. Together, they would do terrible damage to American interests. We must lead a determined regional and international effort to end the Iraqi civil war, or contain it if we cant.', '* * *', 'The Bush administration is heading in exactly the wrong direction.', 'Instead of a diplomatic and political offensive to forge a political settlement, it proposes a military offensive that would send 17,500 Americans into the middle of a sectarian conflict in a city of 6.2 million people.', 'This military surge in Iraq is not a solution it is a tragic mistake.', 'If we should be surging forces anywhere, it is in Afghanistan.', 'Im glad the President has recognized what many of us have been saying for years: unless we surge troops, hardware, money, and high-level attention into Afghanistan, it will fall back into the hands of the Taliban, terrorists and drug traffickers. I support the steps he announced today but I hope they are the first steps not the last in a recommitment to Afghanistan.', '* * *', 'The House is about to pronounce itself on the Presidents surge plan for Iraq and the Senate will, too.', 'Some minimize the significance of a non-binding resolution. If it is so meaningless, why did the White House and the Presidents political supporters mobilize so much energy against it?', 'Opposing the surge is only a first step. We need a radical change in course in Iraq. If the President wont act, Congress will.', 'But Congress must act responsibly. We must resist the temptation to push for changes that sound good but produce bad results.', 'The best next step is to revisit the authorization Congress granted the President in 2002 to use force in Iraq. Thats exactly what Im doing.', 'We gave the President that power to destroy Iraqs weapons of mass destruction and, if necessary, to depose Saddam Hussein.', 'The WMD were not there. Saddam Hussein is no longer there. The 2002 authorization is no longer relevant to the situation in Iraq.', 'I am working on legislation to repeal that authorization and replace it with a much narrower mission statement for our troops in Iraq.', 'Congress should make clear what the mission of our troops is: to responsibly draw down, while continuing to combat terrorists, train Iraqis and respond to emergencies. We should make equally clear what their mission is not: to stay in Iraq indefinitely and get mired in a savage civil war.', 'Coupled with the Biden-Gelb plan, I believe this is the most effective way to start bringing our troops home without leaving a mess behind.', '* * *', 'I want to leave you with one thought.', 'For our sake and for the sake of the Iraqi people, we should be focused on how we get out of Iraq with our interests intact.', 'Everyone wants to bring our troops home as soon and as safely as possible. But tempting as it is, we cant just throw up our hands, blame the President for misusing the authority we gave him, and walk away without a plan for what we leave behind.', 'So Ill end where I began.', 'Leaving Iraq is a necessity, but it is not a plan. We need a plan for what we leave behind. That is what I have offered.', 'To those who disagree with my plan, I have one simple question: what is your alternative?']",1
2,            Joseph R. Biden          ,"March 08, 2007","['Success in Afghanistan is Still Possible if We Surge Forces Anywhere, it Should be in Afghanistan, not Iraq.', 'Today we face an issue at the very heart of our war on terror: the deteriorating security conditions in Afghanistan. If current trends continue, we may soon find that our hard-won success on the battlefield has melted away.', 'I didnt write these words in preparation for this mornings hearing. I spoke them nearly five years ago, on the floor of the United States Senate. [May 17, 2002]', 'Im not bringing up old quotes to say, I told you so, but to make a simple point: the situation in Afghanistan is not an unforeseen circumstance. Plenty of military and civilian officials have been predicting exactly this outcome for years.', 'Whats the state of play? Osama bin Laden remains at large, right across the border in Pakistan in all probability. There are reports that hes reconstituted his terrorist training camps. Given the chance to kill him at Tora Bora, the administration instead pulled most of our Special Forces, our CIA teams and Predators and sent them to Iraq.', 'The Taliban is back -- and keeping much of Afghanistan ungovernable. Suicide bombings, IEDs and other techniques imported from Iraq made last year the bloodiest since their ouster.', 'The government of Pakistan turns a blind eye to the Taliban cross-border attacks, and to the high command based in Quetta. Just last year, the government signed a separate peace with pro-Taliban militias in Waziristan.', ""Afghan reconstruction is stuck in first gear. President Bush promised a Marshall Plan, but he's delivered less development aid in the past five years than we spend on the war in Iraq every three weeks."", 'Last year Afghanistan produced 92% of the worlds opium. The proceeds prop up the Taliban, warlords and corrupt officials. Theres no serious counter-narcotics program. If the Administration pursues a poorly-conceived aerial poppy eradication plan, the results could be even worse.', 'Dont get me wrongweve accomplished some great things. Because of our efforts, millions of Afghan children are in school today. Weve built roads and clinics. Weve got American troops in Provincial Reconstruction Teams showing that the US military can be a wonderful friend as well as a fearsome enemy.', 'President Bush last month made two encouraging statements. First, he announced the deployment of an additional combat brigade to Afghanistan. This is important, because our NATO commanders desperately need not only several thousand battle-ready troops, but the helicopters, transport aircraft, and other military hardware that go with them. Second, he pledged $11.8 billion in new funding over the next two years. If these figures represent new funding in addition to currently-budgeted numbers, and if we focus on projects which bring real improvement to the lives of ordinary Afghansthis may be the start of a more successful strategy.', 'I certainly hope so. Because in Afghanistan, success still is possible. Failure is not thinkable. How can we turn things around? Very briefly, we need to do three things:', 'First, establish security. If we should be surging forces anywhere, its in Afghanistan, not Iraq. NATO troops are necessary, but not sufficient. Weve also got to train the Afghan police and armywhich means, for starters, paying them decent salaries.', 'Second, we have get moving on reconstruction. We need more funds, and we need to use them better. The Afghans are patient, but theyre not seeing reconstruction worthy of a superpower. As Gen. Eikenberry has said, Where the road ends, the Taliban begins.', 'Third, do counter-narcotics right. We should target multimillion-dollar drug kingpins, not the dollar-a-day opium farmers. Someday aerial eradication may have a placebut not until weve got alternate livelihoods set up for those growing poppy, and a judicial system capable of taking down the drug barons. Until then, we should focus on the top of the food-chain, not the bottom.', 'We have three witnesses today who can explain these issues in detail, with authority and expertise. First, we have Richard Boucher the Assistant Secretary of State for South and Central Asia. We all know and respect him as a straight shooter.', 'Next we have Gen. James Jones who recently retired from the U.S. Marine Corps. Gen. Jones was the commander of NATO until early this year, and he supervised the Alliances expansion to include responsibility for all of Afghanistan. And then we have Ambassador James Dobbins, currently at the RAND Corporation, who has served as Special Envoy for Afghanistan. In the immediate aftermath of 9/11, he served as liaison to the Afghan forces fighting alongside our troops to bring down the Taliban. Gentlemen welcome and Ill now turn it over to Sen. Lugar for his opening statement.']",1
3,            Joseph R. Biden          ,"April 03, 2007","['Since before our founding, the United States has been set apart by its uncompromising commitment to the rule of law and individual rights and civil liberties.', 'The values embodied in our constitutional government have been the pole star by which the world has set its moral compass.', 'They have given us the moral authority to lead our allies, and to defeat fascism and communism.', 'In the aftermath of September 11, as the world mourned with us, we had an opportunity to lead again.', 'The world looked to us to form a new coalition to face the threat of international terrorism and defend the very values the terrorists had attacked.', 'Regrettably, the Bush Administration saw it differently.', 'The President accepted a Faustian bargain. He abandoned our uncompromising commitment to the rule of law and individual rights in the belief that it was the only way to secure the United States against the threat of terrorism.', 'My firm belief and absolute conviction is that this Faustian bargain has had the ironic effect of making us less safe, not more safe; emboldened terrorists, not dissuaded them, and diminished us in the eyes of our friends and allies.', 'As I said on September 11the terrorists win when we abandon our civil liberties.', 'We need not change our national character in order to defeat terrorism. As a matter of fact, we are already defeated by the terrorists if we change our character.', ""As a young Senator in 1977, I remember hearing Richard Nixon, who had resigned in disgrace less than three years earlier, comment on the President's duty to obey the law. He said: When the President does it that means that it is not illegal."", 'His statement was breathtaking in its disregard for the rule of law and our constitutional system of checks and balances, but I was convinced that this was the only time in my life I would hear a President defend his actions on the grounds that he was above the law.', '30 years later, here I am once again with a President claiming that because its a time of war our laws and traditions do not apply to him.', 'I will address today five aspects of his policy that subvert our constitutional principles and make us less safe at home and weaker abroad: the acceptance of what amounts to torture, the practice of extraordinary rendition, the operation of secret prisons, the unwarranted surveillance of Americans, and the revocation of habeas corpus.', 'I will argue that by redefining what constitutes torture, redefining international treaty obligations, and operating secret prisons, he has squandered the support of the world and the opportunity to lead it.', 'And here at home the overly broad definition of inherent Presidential power in the time of war has undermined the basic civil liberties of American citizens.', 'Torture', 'Historically, the United States has advocated outlawing torture. We played a central role in drafting the Geneva Conventions and negotiating the Convention Against Torture. And we have enacted domestic laws to severely punish those who torture.', 'And with good reason beyond the obvious morale imperative.', 'Our efforts to outlaw torture were designed to protect the hundreds of thousands of Americans soldiers overseas by giving us the moral authority to demand that those who are captured be treated humanely.', 'After September 11, the President, for all intent and purpose, abandoned our historical opposition to torture. The sophistry engaged in by the Justice Department allowed his Administration to establish two new pillars of a policy regarding torture.', 'The first narrowed the definition of torture to conduct that causes serious physical injury, such as organ failure, impairment of bodily function, or even death.', 'It created a wide class of permissible mistreatment that though [it] might constitute cruel, inhumane, or degrading treatment . . . failed to rise to the level of torture.', 'The second exempted the President, as Commander-in-Chief, from these laws and allowed him to use torture, even though illegal, if he deems it necessary.', 'Emboldened by this analysis, the President allowed his Administration to engage in practices that the rest of the world regarded as torture but he had defined as permissible.', 'A solider who recently served in Afghanistan and Iraq sent the following statement to a Senator: Some argue that since our actions are not as horrifying as Al Qaedas, we should not be concerned. When did Al Qaeda become any type of standard by which we measure the morality of the United States?', 'We are America, and our actions should be held to a higher standard. . . . I would rather die fighting than give up even the smallest part of the idea that is America.', ""The President's policy has damaged Americas image, alienated some of our closest partners, and given significant ammunition to the most extreme terrorists to attract new recruits."", ""The President's policy has also led to inexcusable blunders."", 'The Administration used information obtained from detained Al Qaeda members, who under coercion, asserted that Iraq had trained Al Qaeda operatives to make and use weapons of mass destruction.', 'He cited this information repeatedly to justify taking us to war in Iraq. This information, like almost all information that was coerced, was false. The source told his interrogators what they wanted to hear to stop the coercion.', ""And as I said earlier, the President's policy has provided fodder to Al Qaedas propagandists and recruiters, who have broadcast images of the atrocities at Guantanamo and Abu Ghraib around the world. Imagine if an American soldier were captured by Al Qaeda."", 'Now --- what moral authority do we have now to demand that they treat our soldiers humanely?', 'Its time for us to stop this behavior and comply with our international treaty obligations.', 'I call upon the President today to comply with our domestic law and our international treaty obligations. Mr. President, the American people and the world have had enough of the equivocations and loop holes on this subject. It is time for you to state clearly that we will abide by our international obligations and our policy will reflect our national values.', 'Extraordinary Rendition', 'A policy of kidnapping a suspect and transporting him to a country that we know to use torture or secret site for interrogation is a practice called extraordinary rendition and historically been an anathema to our national values.', 'And although there is a place in the war on terror for rendition to justice, where a suspect is sent to another country to face trial, the use of extraordinary rendition, or rendition to a country that we know uses torture, is out of bounds and counterproductive.', 'As one expert noted, [e]very country to which the United States has rendered a terrorism suspect since 9/11 has been [recognized by the State Department as] a persistent and egregious violator of human rights.', 'To add insult to injury, the President has claimed that his authority as Commander-in-Chief includes the power to order extraordinary rendition and that such an order is not subject to review by our courts or oversight by Congress.', ""The President's abuse of rendition has diminished our moral stature and sapped popular support for the United States around the world, making it difficult to get from foreign partners the cooperation and intelligence we need to effectively fight terrorism."", 'Shortly after Italy indicted 25 CIA agents for a 2003 rendition, Italian citizens took to the streets to protest the expansion of an American military base.', 'A Canadian Government commission censured the United States and Canada has been reticent to share intelligence with us ever since. Germany issued arrest warrants for 13 CIA agents.', 'And Switzerland, the United Kingdom, the European Union, and the Council of Europe are all investigating U.S. renditions within their jurisdictions.', 'There is also strong evidence that the Administrations policy has strengthened the position of oppressive and anti-democratic security services in countries like Syria and Egypt.', 'If our own security services engage in extra-legal kidnapping, detention, and mistreatment, how can we criticize foreign security services that use the same tactics to suppress democratic reform?', 'As President, I will stop this practice.', 'Secret Prisons', 'Some of those rendered are not turned over to brutal foreign regimes, but are held by American security services in secret prisons or black sites. The President has attempted to hide these facilities from the American people and from the world.', 'To ensure that his actions were once again beyond the reach of U.S. law, the President has located these facilities abroad.', 'Legal experts have opined, however, that these prisons often violate the laws of the countries in which they are located.', 'And after press coverage has sparked outrage, the President has been forced to close several of them.', 'Some who have been released from black sites and several international human rights organizations have alleged that the CIA uses brutal techniques at these sites, including waterboarding.', 'What kind of example are we setting for the world with such base behavior?', 'The President has guarded this secret prison system so closely we still know little about it. The President only disclosed the existence of the black site program after the press broke the story.', 'As the existence of these black sites, and the techniques used in them have become known, they have become one of Al Qaedas most effective recruiting tools.', 'According to unclassified reporting on last years National Intelligence Estimate, the abuses that occur at these secret prisons and at Abu Ghraib and Guantanamo Bay have stoked the jihad movement.', 'Mr. President, the American people are tired of half-truths. Close the black sites that are a black stain on the name of America, and close Guantanamo and bulldoze Abu Ghraib to the ground.', 'Warrantless Wiretapping & National Security Letters', ""The President's misguided policy of attempting to protect America by violating our fundamental notions of constitutional governance and individual rights and liberties has not been confined to actions abroad."", 'The President has also engaged in such practices here at home, including his notorious warrantless wiretapping program and his abuse of authority under the Patriot Act.', 'He has secretly eavesdropped on Americans without Congressional authorization or a judicial approval. We fought the American Revolution in part to free ourselves of intrusions on our privacy without probably cause.', 'The Fourth Amendment guarantees freedom from unreasonable government searches and seizures and permits a judge to issue a warrant only after finding probable cause.', 'It stands as a bulwark against arbitrary government invasions of our privacy, and the President is bound by it even as we fight terrorism.', 'President Bush appears to have no patience for the Fourth Amendment and a caviler of Americans rights and liberties.', 'We wont defeat terrorism by destroying the Bill of Rights.', 'In 1928 Justice Brandeis warned that other instruments of executive power were but puny instruments of tyranny and oppression when compared with wire tapping. Justice Holmes described wiretapping as a dirty business. They were prescient.', 'In 1976, a Senate Committee chaired by Frank Church uncovered shocking civil liberties abuses that had occurred during decades of extra-legal surveillance.', 'To ensure that this would never happen again, the Church Committee recommended reforms. In 1978, as a member of the Judiciary and Intelligence Committees, I helped fashion the Foreign Intelligence Surveillance Act, which enacted many of the Committees recommendations. Ninety-four colleagues from both sides of the aisle voted to pass FISA.', 'FISA ensured that the President retained the necessary tools to protect national security and collect foreign intelligence without violating Americans civil liberties. In other words, we created a framework for protecting national security and Americans privacy.', 'FISA established a court that could examine classified evidence and issue wiretap orders. We tailored the standard for FISA wiretaps to the national security threat. Instead of showing probable cause, FISA required the government to show that the subject of the warrant was a suspected terrorist or spy.', 'To ensure national security, we included exceptions: one allows the President to wiretap a terrorist suspect in an emergency prior to obtaining a warrant, as long as he obtains a warrant within', '72 hours, and a second suspends the warrant requirement for 15 days after a Congressional declaration of war.', 'We also took pains to make clear FISA was the exclusive means by which the President could conduct national security surveillance; FISA unambiguously prohibits all such surveillance not authorized by statute.', 'I have argued from the beginning that the President could conduct surveillance of suspected terrorists while complying with FISA.', 'He has chosen instead to ignore FISAs clear prohibition on warrantless surveillance, arguing that he has inherent constitutional authority to conduct surveillance for national security purposes.', 'By so doing, he has knowingly and willfully violated the law and Americans privacy, offering the same arrogant justification as President Nixon that he is above the law.', 'It was only after the Democratic Party regained control of Congress that the Administration reluctantly subjected its surveillance program to FISA court review.', ""Through strong congressional oversight, we need to ensure that the FISA court retains jurisdiction over all the President's surveillance programs. And folks, a clear lesson can be drawn from this elections matter!"", 'The President has also abused the authority Congress gave him under the PATRIOT Act to issue National Security Letters. FBI officials issue these letters without judicial review to demand sensitive financial, credit, phone, and Internet records. Last month, a Congressionally mandated audit revealed that the FBI has made frequent errors in its use of National Security Letters, sometimes getting information about the wrong people and sometimes getting information its not entitled to under the statute.', 'A Biden administration would fight terrorism without destroying the very values were fighting to preserve. I would require a United States Attorney to approve the use of National Security Letters, to ensure that the government gets the information it needs without sacrificing our privacy.', 'Depriving Terror Detainees of Habeas Corpus', 'Continuing with his assault on individual rights and liberties in the name of national security, the President has also deprived terrorism detainees of the most cherished right in our constitutional system habeas corpus. Habeas corpus is a Latin term, meaning to render the body.', 'It was conceived to prevent someone from being locked up erroneously or illegally, with no chance to contest his imprisonment. But lets be clear: It is not a get out of jail free card. And it will not result in the release of dangerous terrorists.', 'Habeas corpus is a judicial safeguard that predates our constitutional democracy.', 'It was among British subjects chief demands of King John on the field at Runnymede in 1215, as reflected in the Magna Carta. Alexander Hamilton described habeas corpus in the Federalist Papers as among the greatest securities to liberty and republicanism that the Constitution contains.', 'While the Framers relegated most individual rights to subsequent amendments in the Bill of Rights, they included habeas corpus in the body of the Constitution itself.', 'In a war where many of our detainees were not captured on a battlefield by U.S. forces and were not wearing military uniforms, habeas corpus is an indispensable safeguard against erroneous detention.', 'But perhaps most importantly, habeas corpus ensures that if the United States detains someone, it does so with full respect for the Constitution and the rule of law.', 'The President has nonetheless stripped detainees of this fundamental safeguard.', 'His efforts to deprive detainees of habeas have been repudiated three times by a Supreme Court dominated by Republican nominees. But still he persists.', 'As a result, nations around the world view Guantanamo not as a facility necessitated by the war on terror, but as a symbol of American disregard for the rule of law.', 'Our enemies have used it and Abu Ghraib to recruit additional terrorists. These prisons have become symbols of American duplicity, not beacons of American justice once again, we should raze Abu Ghraib.', 'We should not wait for another Supreme Court decision. We should immediately move to restore habeas and, as I have said before, we should shut Guantanamo down.', 'Conclusion', 'The President responded to September 11, in an effort to make us safer, by cutting deeply into Americans most cherished rights and liberties and running roughshod over constitutional limitations on Presidential power.', 'But as the Supreme Court recently held, a state of war is not a blank check for the President when it comes to the rights of the Nations citizens.', ""The President's irresponsible use of power is inexcusable. It is time for Congress to re-assert our constitutional role, and exercise strict oversight over the President's policies."", 'It is time to reestablish our moral stature in the world and mend our most important foreign relationships. It is time to send a clear message to our citizens, to our men and women in uniform, and to people around the world, that we are a nation of laws and not men.', 'That we do not choose between security and liberty, we demand both. That we neither condone torture, nor kidnap people and send them to other countries to be tortured.', 'Sending this message will be the first step toward restoring our constitutional balance, reaffirming our individual rights and liberties, and renewing our moral leadership in the world.']",1
