Year,Last Name
1836,Buren
1840,Harrison
1844,Polk
1848,Taylor
1852,Pierce
1856,Buchanan
1860,Lincoln
1864,Lincoln
1868,Grant
1872,Grant
1876,Hayes
1880,Garfield
1884,Cleveland
1888,Harrison
1892,Cleveland
1896,McKinley
1900,McKinley
1904,Roosevelt
1908,Taft
1912,Wilson
1916,Wilson
1920,Harding
1924,Coolidge
1928,Hoover
1932,Roosevelt
1936,Roosevelt
1940,Roosevelt
1944,Roosevelt
1948,Truman
1952,Eisenhower
1956,Eisenhower
1960,Kennedy
1964,Johnson
1968,Nixon
1972,Nixon
1976,Carter
1980,Reagan
1984,Reagan
1988,Bush
1992,Clinton
1996,Clinton
2000,Bush
2004,Bush
2008,Obama
2012,Obama
2016,Trump
2020,Biden
