,name,date,speech
0,"Albert Gore, Jr. ","June 16, 1999","['To my beloved family, to Tipper, to the people of Tennessee, and all of you: I see so many who have been my friends as far back as I can remember. You have always been there for me. And I begin this journey today to be there for you.', ""Two hundred years ago this summer, at the sunrise of America's first full century, veterans of the American Revolution came here and founded Smith County."", ""In their minds' eye, the very idea of what America could become was still then a barely discernible horizon. Yet they moved toward it, convinced of its fineness, certain the distance would yield a place better than they had ever known."", 'Each of us has our own sense of the next, finer horizon.', 'Near the beginning of this century, when my mother was a child in West Tennessee, a poor girl when poor girls were not supposed to dream, she looked out on a world where women could not even vote, and saw with her heart something better: a horizon of equality, where women, as well as men, could be and do their best.', ""I'm so glad she's here on this day."", 'Halfway through this century, when my father saw that thousands of his fellow Tennesseans were forced to obey Jim Crow laws, he knew America could do better. He saw a horizon in which his black and white constituents shared the same hopes in the same world. He fought against the Southern Manifesto and for voting rights. His last election was lost -- but his conscience won. He taught me all my life that that was what really counted.', ""I miss my dad; but I know he's here in spirit."", 'Early in this decade, we set out to put America back to work. And today, the gifts that surround us are great. We have built a strong and growing economy. For many of our families, it is a time of firsts: first child to go to college, first mortgage for a first home, first regular paycheck, first grandchild.', ""Under the policies President Clinton and I have proposed, instead of the biggest deficits in history, we now have the biggest surplus in history. Instead of quadrupling our national debt, we've seen the creation of almost 19 million new jobs. Instead of a deep recession and high unemployment, America now has our strongest economy in the history of the United States."", 'We remember what it was like seven years ago. And I never, ever want to go back. America always looks forward, to the next horizon.', 'I want to keep our prosperity going - and I know how to do it. I want to do it the right way - not by letting people fend for themselves, or hoping for crumbs of compassion, but by giving people the skills and knowledge to succeed in their own right in the next century.', 'And I want to extend our prosperity to the unskilled and underprivileged, to Appalachia and the Mississippi Delta, to our farms and inner cities, to our new immigrants, y tambien en las communidades.', 'But as important as prosperity is, there is more to long for: there is a hunger and thirst for goodness among us.', ""Just visible within a generation's journey is a new horizon: a 21st Century America with stronger families, stronger communities, and a more vital democracy -- in which we live and govern according to our highest American ideals."", 'I love this country with all my heart. I love free speech. I believe in its future. And I know that with our history as our rudder and our ideals as our compass, we can reach our new horizon.', 'And so today, I ask you to join with me, to keep our economy growing and to bring a new wave of fundamental change to this nation - starting with revolutionary improvements in our public schools.', 'I ask you to join with me, to build safe and livable communities, where we protect our environment, and restore the quality of life we deserve.', ""I ask for your help to strengthen family life in America. And I make you this pledge: if you entrust me with the Presidency, I will marshal its authority, its resources, and its moral leadership to fight for America's families."", 'With your help, I will take my own values of faith and family to the Presidency - to build an America that is not only better off, but better. And that is why today, I announce that I am a candidate for President of the United States.', 'Seven years ago, we needed to put America back to work -- and we did. Now we must build on that foundation. We must make family life work in America.', 'For the issue is not only our standard of living, but our standards in life. The measure is not merely the value of our possessions, but the values we possess.', 'We have closed our budget deficit. But today, we find a deficit of even greater danger, one that only seems to deepen the harder we work, and the better we do.', 'These are our deficits now: the time deficit in family life; the decency deficit in our common culture; the care deficit for our little ones and our elderly parents. Our families are loving but over-stretched.', ""These deficits cannot be measured in monthly economic tables, or even in the size of a family's paycheck."", 'To find them, you have to look harder - at the places our statistics do not describe:', 'The dinner tables that sit empty, when working parents do not have the time to share a meal with their children.', 'The entertainment that glorifies aggression and indecency, with lessons more vivid and overpowering than those in the classroom.', 'The schools where discipline is eroding - and the school hallways where guns and fear are becoming too common.', ""The communities where too many families hardly know their neighbors' names anymore - and find it too hard to honor an aging parent by keeping them and caring for them in the neighborhoods they love."", 'The crisis in the American family today knows no boundary of class or race. It is a challenge we share together, and it is one we must overcome together.', ""One of the best ways to help American families is by making America's public schools the finest in the world."", ""With your help, I will bring revolutionary improvement to our public schools. And I'll start by making high quality pre-school available to every child, in every community, all across the entire United States."", 'With your help, I will reduce class sizes, and establish high standards and accountability. I will make it easier for parents to save for college tuition - tax-free, and inflation-free. I will improve teacher quality, and treat teachers like professionals.', 'We have to have schools that instill the values and character we need in the next generation. And every school in America has to be drug-free and gun-free.', 'While some want to pass new protections for gun manufacturers, to shield them from lawsuits, I will work to get guns off the streets, out of the schools, and away from children and criminals.', ""We must also expand community policing, with more cops walking the beat. It's not enough to support the death penalty - which I do. We must also give police new crime-fighting tools to track every lead, catch every criminal, and protect every citizen."", 'And families deserve refuge from a culture of violence and mayhem. I will work to give parents the ability to protect their children from the marketing of cruelty and degradation.', 'Parents also deserve help balancing work and family. I want to bring after-school programs to every community in America. And no parent should have to risk losing a job to go to a parent-teacher conference at school, or to drive a child or an aging parent to the doctor. And I will expand the Family and Medical Leave Act, to make sure that we do just that.', ""Families deserve decent, affordable health care -- with good long-term care for their loved ones. Kids need their grandparents; grandparents need their grandkids. How many old people in America live in loneliness? I will make it easier for our elderly to get health care in their homes. And I will make sure that we pass the Patients' Bill of Rights."", 'And, I will never privatize Social Security or destroy it by diverting funds intended for Social Security. I will strengthen Social Security, not undermine Social Security.', ""While some want to raise the cost of Medicare and force seniors into HMO's, I will make sure that Medicare is never weakened, never looted, never taken away. I believe it is time also to help seniors pay for the prescription drugs they need. It's time we acted."", 'And Tipper and I want to see the day when mental illness is treated like any other illness, by every health plan in America.', 'And I see on the horizon an America where people with disabilities are fully respected for the abilities they have, everywhere in this land.', ""Responsible men and women must make their own most personal decisions based on their own consciences, not government interference. Some try to duck the issue of choice. Not me. American women must be able to make that decision for themselves. I will stand up for a woman's right to choose."", ""All these policy choices are important. But let's remember this: no executive action can mend a broken family. No legislation can reconnect a parent to a child, or a family to a grandparent. No proposal can change a culture that does not place family life at the top of our hierarchy of values, where it belongs."", 'So today, I say to every parent in America: it is our own lives we must master if we are to have the moral authority to guide our children. The ultimate outcome does not rest in the hands of any President, but with all our people - taking responsibility for themselves, and for each other. So my first promise is to ask you, each of you, to fulfill that American promise.', 'I want all of our communities to be working communities. We have moved more than six million people off our welfare rolls. Now we must make sure the jobs and opportunities are there, to restore self-sufficiency and self-esteem. And we must not only sustain the Earned Income Tax Credit, we must raise the minimum wage.', ""Families deserve work that pays. And I will fight for this simple principle: an equal day's pay for an equal day's work."", 'Families deserve real neighborhoods - where the word ""neighbor"" is not just a geographic term but a moral one. Let us become neighbors again.', 'We can create a true ""politics of community"" by working more closely with faith-based organizations to heal the afflicted, feed the hungry, and house the homeless in their own communities.', 'We can sustain such good, strong, livable communities - with green spaces where our children can thrive away from gangs and drugs. With smart growth, we can take back our neighborhoods from sprawl, and make the places our kids call home more than desolate stretches of structures and roads.', ""Some want to cut back on environmental protection and let polluters off the hook. I will never allow that to happen. The environment is our children's home too. We are in a crucial time when it comes to the health of our Earth; it is our children's most precious inheritance, without which everything else we leave them is meaningless."", ""We teach our kids respect by our own actions -- and also by showing respect ourselves for the God's green Earth. I will address the international challenge of global warming - with new technologies that create more jobs, and make our economy even stronger."", 'American families deserve a strong economy. I know what works. I will balance the budget or better -- every year. I will search out every last dime of waste and bureaucratic excess. I know how to do that. I will ask Congress for the power to reach new trade agreements, and open new markets to our goods and services -- but I will also ask for, and use, the authority to negotiate labor and environmental protections in those agreements, whenever necessary. My Administration will lay the foundation for groundbreaking economic innovation -- so that America leads the global new economy of the 21st Century.', 'We have an opportunity to shape a world of freedom and open markets, of rising living standards and human dignity all around the world.', 'But this world is still a dangerous place. We face new threats that know no borders: terrorism and rogue states, the proliferation of weapons of mass destruction, and ancient ethnic hatreds that resurface to tear nations apart.', 'Make no mistake, America must lead the world. And we must always be strong enough to do so. I am proud that we refused to yield to the forces of barbarism in Kosovo. America refused to back down or look away from the face of ethnic slaughter. For an alliance of young democracies to rise up against a Medieval tyranny is the right way to end this millennium - having learned something. And let me say: President Clinton was right to stand for freedom.', 'I served my nation proudly in Vietnam. I have always, always been for a strong defense - above politics, above party, above partisanship.', ""And, I will always stand with America's veterans. And I am honored by the veterans who are standing with us here today."", 'They know foreign policy is no game, nor is it the proper arena for partisan politics, or easy soundbites. The world today is complex and volatile in the extreme -- more than it has ever been. You deserve a leader who has been tested in it -- who knows how to protect America, and secure peace and freedom.', 'Of course, as we defend democracy around the world, we must give democracy new strength and meaning here at home. We all know, inside of us, the way things are supposed to be in America. The way it is supposed to be, no one is hungry; no one is illiterate; no one faces prejudice. The way it is supposed to be, faith -- in ourselves and our mission on this Earth -- lights our steps.', 'But when all is said and counted, when we in our generation are finished adding up our deeds, our possessions, all our material and scientific advances, I believe we will ultimately be judged by whether we have strengthened or weakened the families that are the hope and soul of America.', 'I am not satisfied. Indeed, I am restless. I believe we can do better. I believe we must build on our success, not rest on it. I believe we have what it takes, not only to keep our economy strong, but also to make our values the strongest compass for our future, and the strongest force on Earth.', ""As we begin this new millennium, we will face many new questions. But the most important is as old as America itself. It's the one we faced at Concord and Lexington. The question at the heart of the Miracle at Philadelphia in 1776, and at every critical juncture since -- from the cliffs at Normandy to the bridge at Selma:"", 'The question is: will we turn back now - or will we move forward?', 'That is the question I will put to you, the American people, in this campaign. History makes no promises to keep the good times going in the absence of our own wise choices. It is all too easy to slide backward if we are not vigilant, or if we allow ourselves to be seduced with eloquent words advancing harmful realities. No matter what language you speak:', 'Sin accion, las palabras no valen nada - aunque sean bonitas. Mis amigos, seguiremos, trabajando juntos, mano a mano, para el futuro de nuestras familias y nuestros ninos.', ""If you believe America must move forward - if you are ready for America to choose the good once more -- then let us lead this nation together. Come with me toward America's new horizon. Across that horizon stands the promise of our common values and prosperity - of strengthening every family, lifting every child, leveling every barrier, leaving no one behind."", 'Here, at the center of my home town, in the heart of America, in the midst of the people I love - that is the new horizon I see.', 'I need you for this journey. So together let us vow, in these first long days of summer, that we will work through the night, so that our children may make a clean start from the right place -- a higher place -- in a fresh century.', 'Thank you and may God bless you.', 'And God Bless America.']"
1,"Albert Gore, Jr. ","January 07, 2000","['It is humbling to return to the Ebenezer Baptist Church - to join the King family once again on this high ground of our history and our hopes.', 'In the years of my life, I have stood in many places.', 'I stood on the steps of the United States Capitol, to be sworn in as Vice President of the United States.', 'I stood in communities devastated by poverty and crime. Then I stood on the rostrum of the United States Senate and cast tie-breaking votes to pass an economic program and renew our prosperity - to close the gun show loophole; and try to reduce a little more the chances of a madman with a gun shooting on our streets, or our playgrounds, or ever again in this church.', ""Last week, I presided over the United Nations Security Council, and brought America's pledge of aid to fight the sweeping pain of H.I.V.-AIDS in Africa."", 'I was moved and humbled to be in each of those places. But in a moral sense, no honor is so great as to stand and speak from here, where Dr. Martin Luther King Jr. spoke to the heart and conscience of America.', 'It was 40 years ago this month that Dr. King ascended to this pulpit. From here, he sent his words and ideals into peaceful battle -- and turned the tide of history.', 'From here, again and again, he summoned us to 1hate evil, and love good, and establish justice in the gate.', 'This pulpit, this simple wooden structure with these few steps, is sacred ground in this land of liberty.', 'And we must preserve this place, as well as the spirit of this place, for future generations.', ""So first of all today, I can announce that in addition to the half million dollars we committed last year through our Save America's Treasures initiative, another half million in private funds has now been donated to restore this house of worship, and conserve it as the national treasure it is, for as long as this nation exists."", 'I want to pay tribute to two generous women who were active in the struggle, but wish to remain anonymous, because they have made this gift on behalf of all who sat in, who marched, who raised their voices, who gave their hands and their hearts. And they hope to inspire a new generation of Americans to carry on the cause.', ""I am also proud to announce, today, on Dr. King's birthday, that we will ask Congress for one and a half million dollars to preserve and maintain his birthplace - which is literally the cradle of the civil rights movement."", 'We must honor and uphold the dreamer. For we have come many miles toward justice, but have not yet fulfilled the dream.', 'In the two years since I last stood in this pulpit, we have made further strides together that should be measured today.', 'In those two years, African-American unemployment has fallen to the lowest level in history.', 'African-American poverty has fallen to the lowest level in history.', 'And African-American child poverty has fallen to the lowest level in history.', 'In those two years, African-American home-ownership has risen to an all-time high.', 'And in those two years, we have continued to surpass every past mark for appointment of African Americans to Cabinet seats, judgeships, and other high-ranking posts.', 'If Dr. King were with us now, I believe he would celebrate our gains, because they nourish our dreams, and then he would summon us on. And he, above all others, would turn us to the hard work that is still undone, and he would point out the rare moment, pregnant with possibility, now before us.', ""We have a chance and a challenge that comes to only a few generations -- to open a new era of progress, so that we can keep Dr. King's promise that our bright yesterdays will be transformed into brighter tomorrows."", 'We can, and we must, as he said, I move on in these powerful days to make America what it ought to be.', 'To build on our beginnings - and lift up the one in five children still living below the poverty level.', 'To teach our children well - so that never again will there be urban communities where 40 percent of the students who enter high school never graduate. Let us open doors of opportunity for them - so they too can dream and reach for their dreams.', 'Let us insist that liberty is indivisible -- so that no Asian-American or Latino or African-American will be stopped while driving a car just because of his or her physical appearance.', 'Racial profiling is a scar on the face of America.', 'Let us defeat the forces, of hate -- so that never again win any American be dragged to his death behind a pick-up truck by the demonic force of racial hatred.', ""In my faith tradition, the true prophet of God's message for humankind is the one who comes forth to say: I have been called, as we have all been called, to bring good news to the poor. To bring healing to the sick. To mend the broken-hearted. To speak out clearly on behalf of the oppressed."", 'Dr. King reminded us that prophetic truth is marching on.', 'He taught us that there is no such thing as partial freedom. An of our people must be free from economic privation, or none of our people will be fully free. In his last speech, delivered from the pulpit of Mason Temple in Memphis, Tennessee - when he told of his vision from the mountaintop - he reminded us of the urgent need to build la greater economic base.', 'So we must keep our prosperity going - not for the primary benefit of those who already have the most - but to profit at last those who as yet have so little. Like Dr. King, we do not seek to comfort the comfortable: we do not seek to give away our hard-won surplus to the powerful few, but to use it to establish justice and opportunity for the many.', 'Once, there was a dream, shining and distant. Now the day that once seemed far away has risen within our vision, and lies within our reach.', 'In the dawning light of this new day, I see good jobs and thriving businesses in every neighborhood. I hear every child waking up to the embrace of a whole and healthy family, secure in a safe and vibrant community.', 'I see a hopeful day, when the single mothers who have sacrificed so much have full access to the quality care for their children that affords them the opportunity to both earn a living and shower their children with love and attention.', 'I see a day of revolutionary improvement in our public schools - brought about with millions finding the truest path out of poverty through the classroom door.', 'I see a day when we Americans affirm our teachers, instead of blaming them. A day when we call our best young people to the vocation of teaching, treat them like the professionals they are, and reward them appropriately.', 'Would all the teachers who are here please stand? We honor you today, as we should every day. You are heroes.', ""And I say to all of you, if we care about an equal America, now is not the time to divert public money from public schools, where ninety percent of America's children are educated. Now is not the time to bemoan the failures and give up on reform. Now is the time for revolutionary improvements in our public schools - and a shared commitment to make them' the best in the world."", 'I see a day -- and I tell you that day is coming - when we will achieve, in ways both practical and bold, health coverage for every child in America, and then health coverage for every American.', 'Dr. King believed that no one should have to want for medical care when they are old or sick.', 'No one should have their health determined by their wealth.', ""And I see a day when we strengthen Medicare and Medicaid - which were created in Dr. King's lifetime, and must not be torn down in ours."", ""I see a day when we banish violence from our streets - when we take guns away from children and criminals, and make our schools and neighborhoods sanctuaries of safety and peace. A child can't reach for his -dreams if he's ducking for cover."", ""I believe we as a people can reach the days of our dream. I believe, in my heart, that today's prosperity offers not only a chance, but a moral command - to create an America that lives up to the lessons and legacy of Dr. King's life."", ""And I believe that for all the progress we have made in our nation's policies, we must renew our commitment to build Dr. King's beloved community and overcome the forces of complacency, indifference, fear of difference, and the racial hatred that embitters too many human hearts."", 'These forces are all too real. Their power grows when we ignore them.', ""I hear some in America arguing that our nation's historic struggle for justice and equality is over - that we have already reached the promised land -- that we now have a color-blind society."", ""They're confusing the wilderness with Canaan."", 'Like thirsty men too long in the desert, they see fountains in the sand. They gaze at the shimmering mirage of a city on a hill. But their eyes are playing tricks on them. Our journey is not over. The city we seek stiff lies ahead - beyond the horizon of justice.', 'This is what Dr. King would have called moral blindness. It is a condition that affects the heart as well as the eyes. Those who suffer from it have the capacity to look and not see.', ""They look at African American poverty, and diminished opportunity, and increased infant mortality, and unequal law enforcement, and they don't really see a cause for affirmative action. They don't feel any need to confirm Bill Lann Lee. They don't see the need to aggressively remove the barriers of discrimination that are still all around us."", 'Yes, they have eyes, but they do not see. They do not see that we must five together and advance together.', 'Let us transcend what separates us, and cherish what we have in common. For he 1who serves my father as a child is surely kin to me.', 'Today, 32 years after we lost him, America still needs the soaring dream of Martin Luther King.', 'Martin, where are you? We need your prophetic voice - and we hear it now, even from the grave, the words and the ideals that will never die.', 'We need those thundering words; we need those righteous ideals. As we have been reminded:', 'We shall overcome must be more than a memory from the past. It must be a resolve to find the true America at last.', 'We shall overcome has got to be more than a frame of mind; it must be a commitment to leave no child behind.', 'We shall overcome has got to be more than a freedom song; it must be a God-given faith that right will conquer wrong.', ""We shall overcome has got to be more than a fine we sing; it must be a fight to make things right - so all God's 'Children can hear the freedom bell ring."", 'And then the crooked places shall be made straight, and the rough places plain: And the glory of the Lord shall be revealed.', ""And as Dr. King revealed in his life: here in this world, God's will must be our work. So with God's grace, and in the unquenchable light of Martin Luther King Jr.'s memory, let us go forward to finish the job. Thank you.""]"
2,"Albert Gore, Jr. ","March 27, 2000","[""I'm honored to be here at Marquette University. And I'm honored to be joined by someone who lives up to the high progressive ideals of Wisconsin — and who leads this nation in the fundamental cause of campaign reform -- Senator Russ Feingold."", 'I want to begin by sharing the words of another great advocate of political reform, a man who said, four decades ago:', '""I am one who believes in the principle of one man, one vote?I believe in the ?equality of man, the equality of opportunity, rights, and privileges? and one of these rights is the right to have an equal influence on the selection of public officials.""', 'That man was my father, Senator Albert Gore of Tennessee, speaking on the floor of the United States Senate in a day and decade when few even worried about the influence of money in politics — and even fewer dared to stand up for change. He made a career of standing up to powerful interests — from waging the earliest battles for Medicare, to casting some of the rare Southern votes in the Senate for gun control.', 'During and after the 1956 Presidential election, my father led the most sweeping investigation of campaign contributions and spending that had been conducted up to that time. Here is what he found:', '--Limitless, unregulated contributions were making a mockery of our campaign finance laws.', '--Special-interest donations were being used to manipulate elections and thwart the public will.', '--And in my father\'s own words, ""the lack of proper controls over the raising and spending of money in political campaigns poses the greatest danger to the democratic elective process.""', 'He was right then — and for all the laws passed since then, his words, sadly, continue to ring true today.', ""In 1970, my father lost his Senate seat -- in part because of the special-interest money that was funneled into his opponent's campaign by the Nixon dirty tricks operation."", 'I learned a powerful lesson about American politics from my father — a lesson I tried to sum up in one of my first contributions to the public debate as a freshman Congressman in 1978, when I argued that campaign finance reform ""is one of the most important steps we can take to return government to the people."" In that first term in Congress, I began an effort to persuade my colleagues and my constituents that as long as ""special-interest money control s campaign funding, the public interest will suffer .""', ""That's why I called for public financing of Congressional elections that same year, and throughout my service in Congress. It's why I pushed for measures to reduce campaign costs, limit PAC contributions, and fully disclose special-interest spending. It's why I sponsored or co-sponsored more than a dozen campaign finance reform bills since that first term in Congress."", 'I may not have been as effective in advancing this cause as your Russ Feingold has been. But I believe in it very deeply. My own commitment to this issue has made me appreciate even more the skill with which Russ Feingold and others have made this a part of our national debate.', 'And it has made me appreciate the real heroes in this fight — hundreds of thousands of ordinary Americans, all across this country, who are determined to reclaim their democracy from the special interests. This movement has been carried forward by working men and women, housewives, ministers and factory hands -- ordinary people who insisted on making real the promise of our democracy — and insisted on making those at the highest levels of power respect the premise that in a democracy, all people are politically and morally equal.', 'No one better embodies the heart of this grassroots movement than Doris Haddock, better known as ""Granny D,"" a 90-year-old grandmother from New Hampshire who spent 14 months walking from California to Washington, D.C. to bring attention to this cause. And by the way, she was joined for part of that walk by my opponent, Bill Bradley — who along with John McCain, helped to put this issue at the forefront of this campaign.', 'It is on behalf of these ordinary heroes that I am here today — to talk about the steps we can take, both practical and bold, to restore faith in our democratic process again — to make American elections not endless competitions for cash, but true contests of ideas.', 'I understand the doubts about whether I personally am serious on campaign reform.', 'And I understand all too well the irony of our current fundraising system. Men and women of good intentions and high ideals want to protect the public interest, but have to raise private money in order to do so.', 'No decent public servant enters this line of work in order to raise money, but rather to serve the public. And most of those who donate the money would rather not be asked. We all know that the entire system needs reform. But we also know that there are millions of people who depend upon those who care about the public interest to fight for them, and who would be the ones hurt most if advocates for the public interest unilaterally disarmed, and left the field of battle to those who oppose both the public interest and campaign finance reform.', 'That was the choice I felt I faced in 1996 — and it was a battle to defend Medicare from deep cuts; to preserve our national commitment to education; to prevent our environmental laws from being re-written by the big polluters.', ""But that year, in fighting for what we believe in, Democrats, along with Republicans, engaged in fundraising that pushed the system to the breaking point and fueled further cynicism, which over time undermines the very things we're fighting for."", ""I've got the scars to prove it. And I know I may be an imperfect messenger for this cause. But the real wounds will be to our democracy itself unless we address this problem."", 'I also know that if we are led for the next four years by someone who actively opposes McCain-Feingold, has pledged to veto McCain-Feingold, and professes to see nothing wrong with the ills we seek to remedy, we certainly will make no progress. And indeed, the threat we now confront will become much worse.', 'So the first choice facing us, as always, is whether to try or not. And in simple terms, here is the contrast. I will try. And Governor Bush will not. He is committed to defending the status quo.', ""You know, Governor Bush talks a lot about being an outsider. But being an outsider is about more than where you live; it's about who you're fighting for. Believe it or not, Governor Bush wants to open the floodgates even wider to special interest donors and big money. That's not just defending the status quo — it's setting it in stone. And it will weigh down for decades the hopes and aspirations of our people."", ""I am committed to changing today's system of special-interest campaign financing. And although you have to take my word for this next point, I promise you that, if you entrust me with the Presidency, I will do more than try. I will lead. I will fight. And together with the thousands of Americans who are working to redeem the soul of our democracy, we will win this battle for campaign finance reform."", ""I know first-hand what is wrong with the way we fund political campaigns. I care very deeply about the integrity of our politics — and of course about my own integrity as well. My commitment to changing America's campaign finance laws is both personal and profound."", 'We cannot make the progress our nation needs until we end the dominance of money in our democracy. Let me cite a few examples:', ""Last year alone, the health and insurance industries lavished nearly seven million dollars in political contributions on both parties. Is it entirely an accident that we do not have a Patients' Bill of Rights, to ensure that medical decisions will be made not by the companies that made those donations, but by the doctors and nurses who deliver the care?"", 'Last year alone, the big drug companies bestowed more than four million dollars on both parties. Is it entirely an accident that so many in Congress defend drug industry price-gouging, instead of passing a prescription drug benefit for seniors on Medicare?', 'Last year alone, the big tobacco companies offered up more than two-and-a-half million dollars in contributions — most of them to one party. Is it entirely an accident that Congress refuses to enact tough legislation to protect our children from the addiction of cigarettes?', 'And make no mistake, this cancer on our democracy is growing. The tide of special-interest money rises relentlessly with each successive election cycle. The estimate is that — unless we agree to ban soft money in this campaign — half a billion dollars of it will be raised and spent in this election, overwhelming our campaign laws in a cascade of unregulated cash.', 'Three years ago, I called for both parties to ban soft money entirely -- and I have urged Governor Bush to join with me and ban soft money now. I have also asked Governor Bush to join with me in eliminating the single largest expenditure in any modern campaign — the 30-and 60-second ads that consume more than half of every dollar that is raised and spent — and instead debate twice a week, every week until election day, with a specific issue each time.', 'So far, Governor Bush has refused to join with me to change the way we conduct our campaigns. Instead, he has treated the issue of campaign reform as a political shell game -- launching personal attacks to hide the fact that he opposes McCain-Feingold and every real reform.', 'His notion of campaign reform is so-called ""Paycheck Protection"" — which in fact protects powerful interests by preventing labor unions and working families from having their voices heard, while leaving private concentrations of power free to contribute endless sums of soft money -- without any call for ""shareholder protection"" -- to finance limitless so-called issue ads. The Wyly brothers support his plan.', 'Frankly, under my plan, union spending would be a moot issue, because my plan would ban soft money contributions from both labor and corporations. And by the way, in 1998 business interests contributed $ 167 million in soft money — sixteen times as much as labor unions.', ""Yet Governor Bush's notion of campaign finance reform is to raise the contribution limits — so special interests can give even more, and get even more in return."", ""Let me tell you: if those are the results, then I think it's fair to say that George W. Bush is no reformer. Results for sure — but no reform."", 'I make you this pledge today: If you elect me as your President, the McCain-Feingold bill will be the first domestic legislation I send to the Congress — on my first day in office.', 'I will fight as long as I have to, and as hard as I have to, to pass the bill that bears the names of Russ Feingold and John McCain. And then, with your help, I will be the President who signs McCain-Feingold into law.', 'It will ban soft money for good. It will require full disclosure of the independent expenditures and special-interest committees that funnel billions into campaign advertising. It will increase the resources and strengthen the investigative powers of the Federal Election Commission — which desperately needs powers equal to the great responsibility of protecting the integrity of our democracy.', ""It won't be easy to break the grip of the special interests and pass McCain-Feingold next year. But here is what I will do:"", 'I will use the full reach of the bully pulpit to press the case for McCain-Feingold.', 'I will identify by name the special interests blocking the way, the money they are giving, and the officials who are doing their bidding.', 'I will listen to grassroots activists, support their mobilization, and build with them a powerful national coalition for reform.', ""And I will make it clear to every special-interest apologist that I will not give up, I will not back down, I will not walk away until McCain-Feingold, the people's will, is the law of the land."", 'Experience has shown us that the best path to political reform is step-by-step — and passing McCain-Feingold is the critical first step.', 'But we must go further in the term of the next President.', 'The next important steps are tough new lobbying reform, publicly-guaranteed TV time for debates and advocacy by candidates, and a crackdown on issue advocacy ads.', ""I will propose and fight for a law requiring monthly disclosure of all lobbyists' activities, posted on the Internet and fully accessible to the public. Every citizen will be able to find out to whom lobbyists have contributed, and the specific meetings they've gained to influence specific pieces of legislation."", 'Full disclosure of lobbying activities can help dry up the supply of special-interest money. Free TV time can help reduce the demand for it.', 'I said more than ten years ago — and I still believe today — that ""broadcasters are given a government license for exclusive use of the public airwaves. In return, they are expected to operate in the public interest.""', 'I will strongly advocate the approach developed by Paul Taylor. Every broadcaster should give every candidate for federal office five minutes of air time a night in the last thirty days before the general election. Cable operators should work with their content providers to establish a similar practice.', ""And if broadcast stations air independent issue ads, I believe they should be required by the FCC to give — for free -- the same amount of air time to both candidates in the race. If broadcasters wanted to avoid the requirement to give such free time, all they have to do is say no to the special interests who want to influence our campaigns. I will petition the FCC to issue a ruling that recognizes this requirement as a necessary part of broadcasters' obligation to serve the public. And I will appoint commissioners who — like some already on the FCC — believe the public interest must be protected in new ways, in light of new threats facing it."", 'Step by step, we can reduce the influence of special-interest money in campaigns. But our ultimate goal must be to eliminate it altogether.', ""Some believe the answer is a system of public financing for Congressional and Presidential elections, like the one I first supported in the 1970's."", 'However, bills to establish public financing of Congressional elections have been introduced in every single session of Congress for a quarter-century -- and not a single comprehensive public financing proposal has passed Congress. Almost none have been approved by even one Congressional Committee.', 'It is time for a new approach to achieve the fundamental goal of freeing our democracy from the coils of special-interest cash.', 'So I propose the creation of a non-partisan Democracy Endowment — to follow up on the urgent reform of our campaign finance laws by McCain-Feingold with a revolutionary change to further safeguard our self-government in the 21st Century.', 'The Democracy Endowment will raise more than $ 7 billion over seven years, and then, with the interest and the returns on investment, finance Senate and House general election campaigns — with no other contributions allowed to candidates who accept the funding.', ""Let me be clear: this is a non-partisan endowment for our common democracy. You can't give to any one party; you can't give to any one candidate. Every qualified candidate will have access to these funds according to a formula that is based on the district or state in which they are running. The views of the donor will have absolutely no influence on their views of the recipient. In this way, we will break the connection between the giving of money and the gaining of influence in these election contests."", 'To raise the funds for the Endowment, there will be a 100 percent tax deduction for any individual or corporation that contributes — on a first-come, first-serve basis — until the Endowment is filled. And as soon as it is filled, the tax deduction will sunset.', 'As President, I will work aggressively to secure these funds -- and I will seek the help of every corporation, every union, every major foundation, every dot-com millionaire and every other citizen in America.', 'If the endowment is not filled within seven years, the difference will be made up by free TV time — required of broadcasters as a condition for their licenses.', 'This will provide a powerful incentive for broadcasters to air public service announcements that will help fill the fund.', 'From McCain-Feingold to lobbying reform and a crack-down on special interest issue ads, to the Democracy Endowment, our cause is nothing less than the most sweeping campaign finance reform in history. And it will not be easy. For just as the tobacco companies battle every major measure to reduce teen smoking — just as the HMO lobbyists fight against measures to ensure the best health care, not just the cheapest — they and all the other special interests will be joined together in waging a mighty war to preserve their place and their privileges under the current political system.', 'But let us understand what is at stake here -- our faith in our own self-government, and ultimately, the very future of our democracy.', 'If we believe in the ideal of one person, one vote, as my father so strongly did — then let us fight for the reforms that make sure every vote counts equally.', 'If we believe in a government of the people, by the people, and for the people — then let us have an election process of the people, by the people, and for the people.', ""Some candidates portray themselves as being above the will of the people. They forget that, in spite of the system's degradation, their power still derives from the will of the people. I need you to keep raising your voices in a grassroots movement for reform. I need you to give me your mandate to carry this banner forward."", 'Together, we can end the money chase, and create a system where we pursue our highest ideals. And if you entrust me with the Presidency, I make you this pledge: I will fight for political reform. I will fight for you. I will fight to give the power in our politics back to the people. Thank you.']"
